GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Roraima;Total;Estadual;58,0;0,4;34,2;2,2;5,2;57,3;0,1;30,3;4,7;7,6
Roraima;Urbana;Estadual;82,2;0,0;16,2;0,0;1,6;71,0;0,0;25,6;1,7;1,7
Roraima;Rural;Estadual;40,2;0,7;47,4;3,8;7,9;37,6;0,2;37,1;9,1;16,0
Roraima;Total;Municipal;16,2;0,0;78,9;1,4;3,5;54,45;0,8;36,0;2,3;2,2
Roraima;Urbana;Municipal;18,0;0,0;82,0;0,0;0,0;54,45;0,8;36,0;2,3;2,2
Roraima;Rural;Municipal;6,8;0,0;62,7;8,5;22,0;54,45;0,8;36,0;2,3;2,2
Roraima;Total;Privada;32,0;0,0;52,4;8,7;6,9;48,0;0,0;36,0;8,0;8,0
Roraima;Urbana;Privada;32,0;0,0;52,4;8,7;6,9;48,0;0,0;36,0;8,0;8,0
Roraima;Rural;Privada;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Roraima;Total;Pública;43,9;0,3;49,2;1,9;4,7;57,5;0,1;30,1;4,7;7,6
Roraima;Urbana;Pública;50,0;0,0;49,2;0,0;0,8;71,1;0,1;25,4;1,7;1,7
Roraima;Rural;Pública;36,1;0,6;49,3;4,4;9,6;37,6;0,2;37,1;9,1;16,0
Pará;Total;Total;37,6;0,4;43,5;2,1;16,4;65,0;0,9;29,6;1,8;2,7
Pará;Urbana;Total;56,6;0,5;38,1;1,9;2,9;69,2;1,0;25,9;1,5;2,4
Pará;Rural;Total;20,6;0,2;48,3;2,3;28,6;43,3;0,6;48,0;3,4;4,7
Pará;Total;Federal;34,0;0,4;47,9;2,1;7,8;85,3;4,0;9,3;0,0;1,4
Pará;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;93,7;3,2;1,6;0,0;1,5
Pará;Rural;Federal;34,0;0,4;47,9;2,1;7,8;41,7;8,3;50,0;0,0;0,0
Pará;Total;Estadual;70,5;1,0;26,0;1,9;0,6;70,1;0,9;26,1;1,4;1,5
Pará;Urbana;Estadual;72,8;0,9;24,6;1,4;0,3;75,5;1,0;21,3;1,1;1,1
Pará;Rural;Estadual;55,5;1,3;35,0;5,0;3,2;45,1;0,7;48,6;2,4;3,2
Pará;Total;Municipal;34,4;0,3;45,2;2,0;18,1;84,4;0,0;15,6;0,0;0,0
Pará;Urbana;Municipal;54,1;0,5;40,7;1,7;3,0;75,0;0,0;25,0;0,0;0,0
Pará;Rural;Municipal;19,6;0,2;48,7;2,2;29,3;90,0;0,0;10,0;0,0;0,0
